model_slug,probe_tier,status,score_mean,score_delta_vs_M01,score_delta_vs_P12,completion_binary,runtime_proxy,latency_field,cost_field,failure_reason_code,task_name,benchmark_slug,notebook_pin_sha,source_export,notes
claude-opus-4-5-20251101,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-5-20251101,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
claude-opus-4-6-default,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-6-default,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-6-default,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-opus-4-6-default,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
claude-sonnet-4-20250514,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-20250514,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-20250514,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-20250514,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
claude-sonnet-4-5-20250929,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-5-20250929,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-5-20250929,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-5-20250929,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
claude-sonnet-4-6-default,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-6-default,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-6-default,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
claude-sonnet-4-6-default,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
deepseek-r1-0528,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-r1-0528,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-r1-0528,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-r1-0528,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
deepseek-v3.1,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-v3.1,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-v3.1,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-v3.1,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
deepseek-v3.2,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-v3.2,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-v3.2,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
deepseek-v3.2,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
gemini-2.0-flash-001,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.0-flash-001,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.0-flash-001,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.0-flash-001,P72,completed,0.6835590277777772,0.0031423611111104366,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
gemini-2.0-flash-lite-001,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.0-flash-lite-001,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.0-flash-lite-001,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.0-flash-lite-001,P72,completed,0.6452777777777785,-0.02013888888888815,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
gemini-2.5-flash,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.5-flash,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.5-flash,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.5-flash,P72,completed,0.6523784722222229,0.0044618055555561975,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
gemini-2.5-pro,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.5-pro,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.5-pro,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-2.5-pro,P72,completed,0.8157118055555561,-0.07720486111111069,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
gemini-3-flash-preview,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3-flash-preview,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3-flash-preview,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3-flash-preview,P72,completed,0.6623784722222232,0.02446180555555655,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
gemini-3.1-flash-lite-preview,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3.1-flash-lite-preview,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3.1-flash-lite-preview,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3.1-flash-lite-preview,P72,completed,0.6427430555555564,-0.012673611111110206,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
gemini-3.1-pro-preview,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3.1-pro-preview,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3.1-pro-preview,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemini-3.1-pro-preview,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
gemma-3-12b-it,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-12b-it,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-12b-it,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-12b-it,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
gemma-3-1b-it,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-1b-it,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-1b-it,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-1b-it,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
gemma-3-27b-it,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-27b-it,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-27b-it,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-27b-it,P72,completed,0.7241666666666657,0.046999999999999154,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
gemma-3-4b-it,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-4b-it,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-4b-it,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-3-4b-it,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
gemma-4-26b-a4b-it,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-4-26b-a4b-it,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-4-26b-a4b-it,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-4-26b-a4b-it,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
gemma-4-31b-it,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-4-31b-it,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-4-31b-it,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
gemma-4-31b-it,P72,platform_limited,NA,NA,NA,0,NA,NA,NA,boolean_false_no_numeric,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,Platform returned Boolean_Result=False without Numerical_Result; not asserted as benchmark defect.
glm-5,P12,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p12_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
glm-5,P24,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p24_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
glm-5,P48,export_missing,NA,NA,NA,0,NA,NA,NA,no_row_for_task,lucid_m11_probe_p48_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,NA,No matching Task_Name row in provided export CSV(s).
glm-5,P72,completed,0.660815972222222,-0.2321006944444448,NA,1,NA,NA,NA,NA,lucid_m09_mature_evidence_task,michael1232/lucid-kaggle-community-benchmarks,13137d907e938c6ed36c2b17eb0c4347f2d3943c,m09_kaggle_leaderboard_export.csv,NA
